City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Malpensa,LIMC,45.626396,8.712519,3920,11117615,468.77
Bari,LIBD,41.1366,16.7564,3000,2921914,77.47
Palermo,LICJ,38.1824,13.100582,3326,1880634,89.36
Torino,LIMF,45.200499198,7.643164094,3300,477617,137.78
Firenze,LIRQ,43.808653,11.201225,1750,5827084,118.72
Trieste,LIPQ,45.823,13.485,3000,3682052,46.55
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
Bologna,LIPE,44.535442,11.288667,2800,7026812,163.75
Catania,LICC,37.4673,15.0658,2435,3126768,89.36
Verona,LIPX,45.395699,10.8885,3068,9002561,38.77
Genova,LIMJ,44.414165,8.942184,3066,3422620,49.74
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
