City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Bergamo,LIME,45.6688889,9.70027778,2937,11756152,468.77
Bari,LIBD,41.1366,16.7564,3000,2921914,77.47
Firenze,LIRQ,43.808653,11.201225,1750,5827084,118.72
Torino,LIMF,45.200499198,7.643164094,3300,477617,137.78
Cagliari,LIEE,39.2515388,9.0556723,2803,994409,35.25
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
Genova,LIMJ,44.414165,8.942184,3066,3422620,49.74
Verona,LIPX,45.395699,10.8885,3068,9002561,38.77
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
Catania,LICC,37.4673,15.0658,2435,3126768,89.36
Bologna,LIPE,44.535442,11.288667,2800,7026812,163.75
