City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Bergamo,LIME,45.6688889,9.70027778,2937,11756152,468.77
Venezia,LIPZ,45.5032,12.3512,3300,5658163,164.86
Palermo,LICJ,38.1824,13.100582,3326,1880634,89.36
Torino,LIMF,45.200499198,7.643164094,3300,477617,137.78
Cagliari,LIEE,39.2515388,9.0556723,2803,994409,35.25
Trieste,LIPQ,45.823,13.485,3000,3682052,46.55
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
Napoli,LIRN,40.884,14.2878,2012,6282927,109.63
Catania,LICC,37.4673,15.0658,2435,3126768,89.36
Genova,LIMJ,44.414165,8.942184,3066,3422620,49.74
Verona,LIPX,45.395699,10.8885,3068,9002561,38.77
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
