City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Bergamo,LIME,45.6688889,9.70027778,2937,11756152,468.77
Venezia,LIPZ,45.5032,12.3512,3300,5658163,164.86
Palermo,LICJ,38.1824,13.100582,3326,1880634,89.36
Torino,LIMF,45.200499198,7.643164094,3300,477617,137.78
Firenze,LIRQ,43.808653,11.201225,1750,5827084,118.72
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
Ancona,LIPY,43.616943,13.516667,2962,2281970,42.39
Catania,LICC,37.4673,15.0658,2435,3126768,89.36
Trieste,LIPQ,45.823,13.485,3000,3682052,46.55
Bologna,LIPE,44.535442,11.288667,2800,7026812,163.75
Napoli,LIRN,40.884,14.2878,2012,6282927,109.63
