City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Fiumicino,LIRF,41.77354,12.239712,3900,5671181,200.84
Cagliari,LIEE,39.2515388,9.0556723,2803,994409,35.25
Venezia,LIPZ,45.5032,12.3512,3300,5658163,164.86
Torino,LIMF,45.200499198,7.643164094,3300,477617,137.78
Bari,LIBD,41.1366,16.7564,3000,2921914,77.47
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
Trieste,LIPQ,45.823,13.485,3000,3682052,46.55
Ancona,LIPY,43.616943,13.516667,2962,2281970,42.39
Catania,LICC,37.4673,15.0658,2435,3126768,89.36
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
Verona,LIPX,45.395699,10.8885,3068,9002561,38.77
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
