City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Malpensa,LIMC,45.626396,8.712519,3920,11117615,468.77
Bari,LIBD,41.1366,16.7564,3000,2921914,77.47
Venezia,LIPZ,45.5032,12.3512,3300,5658163,164.86
Palermo,LICJ,38.1824,13.100582,3326,1880634,89.36
Torino,LIMF,45.200499198,7.643164094,3300,477617,137.78
Ancona,LIPY,43.616943,13.516667,2962,2281970,42.39
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
Bologna,LIPE,44.535442,11.288667,2800,7026812,163.75
Catania,LICC,37.4673,15.0658,2435,3126768,89.36
Genova,LIMJ,44.414165,8.942184,3066,3422620,49.74
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
