City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Bergamo,LIME,45.6688889,9.70027778,2937,11756152,468.77
Firenze,LIRQ,43.808653,11.201225,1750,5827084,118.72
Venezia,LIPZ,45.5032,12.3512,3300,5658163,164.86
Bari,LIBD,41.1366,16.7564,3000,2921914,77.47
Cagliari,LIEE,39.2515388,9.0556723,2803,994409,35.25
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
Trieste,LIPQ,45.823,13.485,3000,3682052,46.55
Verona,LIPX,45.395699,10.8885,3068,9002561,38.77
Genova,LIMJ,44.414165,8.942184,3066,3422620,49.74
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
Catania,LICC,37.4673,15.0658,2435,3126768,89.36
