City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Malpensa,LIMC,45.626396,8.712519,3920,11117615,468.77
Palermo,LICJ,38.1824,13.100582,3326,1880634,89.36
Venezia,LIPZ,45.5032,12.3512,3300,5658163,164.86
Bari,LIBD,41.1366,16.7564,3000,2921914,77.47
Cagliari,LIEE,39.2515388,9.0556723,2803,994409,35.25
Ancona,LIPY,43.616943,13.516667,2962,2281970,42.39
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
Verona,LIPX,45.395699,10.8885,3068,9002561,38.77
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
Genova,LIMJ,44.414165,8.942184,3066,3422620,49.74
Napoli,LIRN,40.884,14.2878,2012,6282927,109.63
