City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Malpensa,LIMC,45.626396,8.712519,3920,11117615,468.77
Cagliari,LIEE,39.2515388,9.0556723,2803,994409,35.25
Torino,LIMF,45.200499198,7.643164094,3300,477617,137.78
Venezia,LIPZ,45.5032,12.3512,3300,5658163,164.86
Bari,LIBD,41.1366,16.7564,3000,2921914,77.47
Catania,LICC,37.4673,15.0658,2435,3126768,89.36
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
Napoli,LIRN,40.884,14.2878,2012,6282927,109.63
Ancona,LIPY,43.616943,13.516667,2962,2281970,42.39
Genova,LIMJ,44.414165,8.942184,3066,3422620,49.74
Verona,LIPX,45.395699,10.8885,3068,9002561,38.77
Trieste,LIPQ,45.823,13.485,3000,3682052,46.55
