City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Fiumicino,LIRF,41.77354,12.239712,3900,5671181,200.84
Venezia,LIPZ,45.5032,12.3512,3300,5658163,164.86
Firenze,LIRQ,43.808653,11.201225,1750,5827084,118.72
Palermo,LICJ,38.1824,13.100582,3326,1880634,89.36
Bari,LIBD,41.1366,16.7564,3000,2921914,77.47
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
Ancona,LIPY,43.616943,13.516667,2962,2281970,42.39
Genova,LIMJ,44.414165,8.942184,3066,3422620,49.74
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
Trieste,LIPQ,45.823,13.485,3000,3682052,46.55
Napoli,LIRN,40.884,14.2878,2012,6282927,109.63
