City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population,GDP
Malpensa,LIMC,45.626396,8.712519,3920,11117615,468.77
Palermo,LICJ,38.1824,13.100582,3326,1880634,89.36
Firenze,LIRQ,43.808653,11.201225,1750,5827084,118.72
Torino,LIMF,45.200499198,7.643164094,3300,477617,137.78
Venezia,LIPZ,45.5032,12.3512,3300,5658163,164.86
LameziaTerme,LICA,38.906585,16.243402,2414,1737196,33.61
Pescara,LIBP,42.461788,14.21609,2419,2005440,33.13
Olbia,LIEO,40.916668,9.5,2745,640734,35.25
Trieste,LIPQ,45.823,13.485,3000,3682052,46.55
Verona,LIPX,45.395699,10.8885,3068,9002561,38.77
Bologna,LIPE,44.535442,11.288667,2800,7026812,163.75
Napoli,LIRN,40.884,14.2878,2012,6282927,109.63
